# Wavelength[nm]         Transmittance
# averaged and made <0;1>
177.407 0.233
191.225 0.223
205.030 0.183
218.820 0.000
232.598 0.000
246.362 0.010
260.112 0.000
273.848 0.002
284.142 0.005
289.286 0.052
292.713 0.105
296.140 0.202
299.566 0.350
302.991 0.483
306.415 0.577
309.839 0.658
313.261 0.695
316.682 0.688
320.103 0.712
323.523 0.774
326.941 0.817
330.358 0.820
333.775 0.775
337.191 0.752
340.606 0.790
344.020 0.807
347.433 0.816
350.845 0.811
354.256 0.738
357.666 0.675
361.075 0.699
364.482 0.769
367.890 0.812
371.297 0.812
374.700 0.807
378.107 0.793
381.510 0.803
384.910 0.849
388.310 0.894
391.710 0.915
395.110 0.926
398.510 0.922
401.910 0.909
405.303 0.909
408.700 0.910
412.093 0.911
415.487 0.911
418.880 0.913
422.270 0.916
425.660 0.926
429.049 0.928
432.437 0.927
435.825 0.926
439.211 0.932
442.596 0.935
445.980 0.927
449.363 0.904
452.745 0.885
456.125 0.862
459.505 0.845
462.884 0.854
466.262 0.868
469.639 0.879
473.015 0.890
476.389 0.901
479.762 0.896
483.134 0.897
486.506 0.906
489.876 0.894
493.245 0.897
496.613 0.905
499.982 0.908
503.345 0.908
506.711 0.910
510.075 0.896
513.437 0.875
516.798 0.840
520.159 0.766
523.518 0.651
526.877 0.499
530.233 0.327
533.589 0.193
536.944 0.110
540.298 0.061
543.650 0.037
547.000 0.022
550.350 0.013
553.700 0.008
557.050 0.015
560.395 0.006
563.742 0.009
567.086 0.010
570.430 0.005
573.772 0.006
577.113 0.012
580.453 0.015
583.792 0.022
587.130 0.028
590.466 0.032
593.800 0.032
597.137 0.025
600.468 0.022
603.800 0.019
607.131 0.019
610.459 0.016
613.788 0.017
617.115 0.014
620.440 0.013
623.765 0.015
627.089 0.022
630.411 0.034
633.732 0.045
637.052 0.046
640.370 0.047
643.689 0.041
647.003 0.033
650.319 0.019
653.632 0.011
656.944 0.006
660.256 0.003
663.565 0.000
666.875 0.000
670.183 0.000
673.487 0.000
676.795 0.000
680.095 0.000
683.397 0.000
686.705 0.000
690.005 0.000
693.297 0.000
696.595 0.000
699.895 0.000
703.186 0.000
706.482 0.000
709.775 0.000
713.065 0.000
716.354 0.000
719.643 0.008
722.930 0.011
726.216 0.008
729.501 0.010
732.784 0.014
736.066 0.015
739.346 0.014
742.626 0.014
745.905 0.010
749.181 0.013
752.457 0.013
755.730 0.012
759.004 0.010
762.275 0.014
765.545 0.015
768.813 0.017
772.080 0.016
775.347 0.019
778.612 0.022
781.876 0.023
785.138 0.022
788.399 0.021
791.658 0.022
794.916 0.022
798.173 0.019
801.428 0.019
804.682 0.019
807.935 0.016
811.185 0.011
814.435 0.021
817.685 0.022
820.931 0.020
824.177 0.016
827.421 0.014
830.664 0.026
833.906 0.020
837.146 0.028
840.385 0.030
843.623 0.027
846.858 0.030
850.092 0.033
853.325 0.035
856.558 0.042
859.788 0.053
863.017 0.062
866.244 0.063
869.470 0.083
872.695 0.114
875.918 0.144
879.139 0.183
882.359 0.243
885.579 0.330
888.796 0.418
892.013 0.508
895.226 0.597
898.440 0.658
901.652 0.697
904.861 0.694
908.070 0.672
911.278 0.617
914.481 0.564
917.690 0.509
920.890 0.478
924.090 0.440
927.290 0.453
930.490 0.394
933.689 0.410
936.880 0.416
940.076 0.336
943.269 0.360
946.459 0.325
949.648 0.493
952.836 0.529
956.023 0.535
959.207 0.548
962.391 0.579
965.573 0.616
968.753 0.637
971.932 0.685
975.110 0.691
978.285 0.673
981.460 0.648
984.631 0.661
987.803 0.676
990.972 0.667
994.142 0.658
997.308 0.660
1000.472 0.639
1008.377 0.611
1021.005 0.612
1033.608 0.651
1046.187 0.691
1058.739 0.569
1071.267 0.282
1083.768 0.036
1095.152 0.092
